PAC,Gene,Description,Family,Number of Interactions,Rank of Druggabilty,Druggability Percentile,Rank Druggability for Other Therapeutic Areas,Druggability for Other Therapeutic Areas Percentile,Rank Druggability for Cancer,Druggability for Cancer Percentile,Rank Cancer-Associated,Cancer-Associated Percentile,Is this gene a drug target?,Is this gene a target of other therapeutics?,Is this gene a target of cancer therapeutics?,Is this gene associated with cancer?,Is this gene in the CGC?,Maximum Druggability percentile
Q96EK9,KTI12,Protein KTI12 homolog,KTI12 family,1,12399,7%,12978,3%,12561,6%,12457,7%,0,0,0,0,0,0.07
Q96EL1,FAM212A,Protein FAM212A,FAM212 family,2,10219,23%,5828,56%,11008,18%,9232,31%,0,0,0,0,0,0.56
Q96EL2,MRPS24,"28S ribosomal protein S24, mitochondrial, MRP-S24, S24mt",,4,12435,7%,6392,52%,10384,22%,8260,38%,0,0,0,0,0,0.52
Q96EL3,MRPL53,"39S ribosomal protein L53, mitochondrial",,7,10382,22%,10301,23%,8392,37%,7271,46%,0,0,0,0,0,0.37
Q96EN8,MOCOS,Molybdenum cofactor sulfurase,class-V pyridoxal-phosphate-dependent aminotransferase family,1,7425,44%,1930,86%,12733,5%,12431,7%,0,0,0,0,0,0.86
Q96EN9,C19orf60,Uncharacterized protein C19orf60,,5,7566,43%,11584,13%,8864,34%,7439,44%,0,0,0,0,0,0.43
Q96EP0,RNF31,RING finger protein 31,,27,5962,55%,5817,56%,1638,88%,1883,86%,0,0,0,0,0,0.88
Q96EP1,CHFR,E3 ubiquitin-protein ligase CHFR, CHFR family.,29,5785,57%,6965,48%,901,93%,1215,91%,0,0,0,0,0,0.93
Q96EP5,DAZAP1,DAZ-associated protein 1,,5,11040,17%,11563,13%,8074,39%,4450,67%,0,0,0,0,0,0.39
Q96EQ0,SGTB,Small glutamine-rich tetratricopeptide repeat-containing protein beta, SGT family.,9,3124,77%,5096,62%,2758,79%,6659,50%,0,0,0,0,0,0.79
Q96EQ8,RNF125,E3 ubiquitin-protein ligase RNF125,,20,8018,40%,5694,57%,1461,89%,3021,77%,0,0,0,0,0,0.89
Q96ER3,SAAL1,Protein SAAL1, SAAL1 family.,2,5879,56%,4473,66%,8130,39%,9286,30%,0,0,0,0,0,0.66
Q96ES6,MFSD3,Major facilitator superfamily domain-containing protein 3, major facilitator superfamily.,4,6914,48%,6750,49%,10223,23%,9029,32%,0,0,0,0,0,0.49
Q96ES7,CCDC101,SAGA-associated factor 29 homolog, SGF29 family.,12,10897,18%,8295,38%,7717,42%,5925,56%,0,0,0,0,0,0.42
Q96EU7,C1GALT1C1,C1GALT1-specific chaperone 1,glycosyltransferase 31 family,3,11614,13%,9936,26%,12368,7%,10936,18%,0,0,0,0,0,0.26
Q96EV2,RBM33,RNA-binding protein 33,,3,6846,49%,9823,26%,2105,84%,2339,82%,0,0,0,0,0,0.84
Q96EV8,DTNBP1,Dysbindin, dysbindin family.,54,11886,11%,6211,53%,4933,63%,3851,71%,0,0,0,0,0,0.63
Q96EW2,HSPBAP1,HSPB1-associated protein 1,,4,10303,23%,11939,11%,9909,26%,8089,39%,0,0,0,0,0,0.26
Q96EX3,WDR34,WD repeat-containing protein 34,,7,6957,48%,6397,52%,5522,59%,5007,62%,0,0,0,0,0,0.59
Q96EY1,DNAJA3,"DnaJ homolog subfamily A member 3, mitochondrial",,37,2491,81%,1456,89%,1288,90%,1029,92%,0,0,0,0,0,0.90
Q96EY4,C4orf43,UPF0534 protein C4orf43, UPF534 family.,5,8051,40%,6287,53%,7260,46%,7117,47%,0,0,0,0,0,0.53
Q96EY5,MVB12A,Multivesicular body subunit 12A,MVB12 family,5,4955,63%,2788,79%,5105,62%,5902,56%,0,0,0,0,0,0.79
Q96EY7,PTCD3,"Pentatricopeptide repeat-containing protein 3, mitochondrial", PTCD3 family.,5,4966,63%,9997,25%,8558,36%,8101,39%,0,0,0,0,0,0.63
Q96EY8,MMAB,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",Cob(I)alamin adenosyltransferase family,2,10038,25%,11468,14%,11790,12%,11865,11%,0,0,0,0,0,0.25
Q96EY9,ADAT3,tRNA-specific adenosine deaminase-like protein 3, cytidine and deoxycytidylate deaminase family. ADAT3 subfamily.,1,11121,17%,12183,9%,11717,12%,9521,29%,0,0,0,0,0,0.17
Q96EZ8,MCRS1,Microspherule protein 1,,33,11928,11%,8034,40%,5140,61%,3609,73%,0,0,0,0,0,0.61
Q96F07,CYFIP2,Cytoplasmic FMR1-interacting protein 2, CYFIP family.,20,2669,80%,1785,87%,3140,76%,2466,82%,0,0,0,0,0,0.87
Q96F10,SAT2,Diamine acetyltransferase 2, acetyltransferase family.,6,3913,71%,8033,40%,3540,73%,2899,78%,0,0,0,0,0,0.73
Q96F15,GIMAP5,GTPase IMAP family member 5,AIG1/Toc34/Toc159-like paraseptin GTPase family,6,3499,74%,973,93%,7575,43%,7502,44%,0,0,0,0,0,0.93
Q96F24,NRBF2,"Nuclear receptor-binding factor 2, NRBF-2",,10,5443,59%,8495,36%,4175,69%,1595,88%,0,0,0,0,0,0.69
Q96F44,TRIM11,E3 ubiquitin-protein ligase TRIM11, TRIM/RBCC family.,15,6760,49%,5886,56%,1943,85%,3496,74%,0,0,0,0,0,0.85
Q96F46,IL17RA,Interleukin-17 receptor A,,2,5003,63%,7063,47%,2798,79%,10481,21%,0,0,0,0,0,0.79
Q96F63,CCDC97,Coiled-coil domain-containing protein 97,,3,11375,15%,12601,6%,9322,30%,7567,43%,0,0,0,0,0,0.30
Q96F81,DISP1,Protein dispatched homolog 1,dispatched family,1,10453,22%,10747,19%,11423,14%,12539,6%,0,0,0,0,0,0.22
Q96F85,CNRIP1,"CB1 cannabinoid receptor-interacting protein 1, CRIP-1", CNRIP family.,2,3901,71%,4703,65%,7730,42%,8199,39%,0,0,0,0,0,0.71
Q96F86,EDC3,Enhancer of mRNA-decapping protein 3, EDC3 family.,10,4044,70%,2421,82%,3039,77%,2767,79%,0,0,0,0,0,0.82
Q96FA3,PELI1,"E3 ubiquitin-protein ligase pellino homolog 1, Pellino-1", pellino family.,19,6765,49%,6532,51%,1774,87%,1951,85%,0,0,0,0,0,0.87
Q96FA7,C7orf29,Uncharacterized protein C7orf29,,1,4660,65%,2316,83%,7610,43%,11101,17%,0,0,0,0,0,0.83
Q96FC7,PHYHIPL,Phytanoyl-CoA hydroxylase-interacting protein-like, PHYHIP family.,1,11816,11%,11736,12%,12682,5%,12942,3%,0,0,0,0,0,0.12
Q96FC9,DDX11,Probable ATP-dependent RNA helicase DDX11, DEAD box helicase family. DEAH subfamily. DDX11/CHL1 sub-subfamily.,17,1867,86%,2060,85%,2822,79%,3165,76%,0,0,0,0,0,0.86
Q96FE5,LINGO1,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,,8,5902,56%,8040,40%,2230,83%,5416,59%,0,0,0,0,0,0.83
Q96FE7,PIK3IP1,Phosphoinositide-3-kinase-interacting protein 1,,1,8861,34%,5300,60%,10652,20%,9628,28%,0,0,0,0,0,0.60
Q96FF9,CDCA5,Sororin, sororin family.,14,6490,51%,6956,48%,5576,58%,2533,81%,0,0,0,0,0,0.58
Q96FG2,ELMOD3,ELMO domain-containing protein 3,,1,12159,9%,12318,8%,12788,4%,12941,3%,0,0,0,0,0,0.09
Q96FH0,MEF2BNB,Protein MEF2BNB, MEF2BNB family.,1,12266,8%,12320,8%,12805,4%,12924,3%,0,0,0,0,0,0.08
Q96FI4,NEIL1,Endonuclease 8-like 1,FPG family,6,9865,26%,11525,14%,6244,53%,4252,68%,0,0,0,0,0,0.53
Q96FJ0,STAMBPL1,"AMSH-like protease, AMSH-LP", peptidase M67C family.,21,8643,35%,7959,40%,3205,76%,3249,76%,0,0,0,0,0,0.76
Q96FJ2,DYNLL2,"Dynein light chain 2, cytoplasmic", dynein light chain family.,22,4582,66%,1279,90%,4916,63%,3801,72%,0,0,0,0,0,0.90
Q96FK6,WDR89,WD repeat-containing protein 89,,7,12036,10%,10968,18%,8624,35%,8405,37%,0,0,0,0,0,0.35
Q96FL9,GALNT14,Polypeptide N-acetylgalactosaminyltransferase 14,glycosyltransferase 2 family,3,9679,27%,6873,48%,12319,8%,12984,3%,0,0,0,0,0,0.48
Q96FN4,CPNE2,Copine-2, copine family.,18,6053,55%,2777,79%,3701,72%,3223,76%,0,0,0,0,0,0.79
Q96FN9,DTD2,Probable D-tyrosyl-tRNA(Tyr) deacylase 2,DTD family,1,13252,1%,13263,1%,13257,1%,13258,1%,0,0,0,0,0,0.01
Q96FQ6,S100A16,Protein S100-A16,S-100 family,3,9759,27%,7040,47%,10478,21%,8820,34%,0,0,0,0,0,0.47
Q96FS4,SIPA1,"Signal-induced proliferation-associated protein 1, Sipa-1",,4,7767,42%,12110,9%,8051,40%,5225,61%,0,0,0,0,0,0.42
Q96FT7,ASIC4,Acid-sensing ion channel 4,amiloride-sensitive sodium channel (TC 1.A.6) family,1,5719,57%,7397,45%,9032,32%,10524,21%,0,0,0,0,0,0.57
Q96FT9,IFT43,Intraflagellar transport protein 43 homolog,IFT43 family,2,12354,7%,10473,22%,12290,8%,12447,7%,0,0,0,0,0,0.22
Q96FV2,SCRN2,Secernin-2,peptidase C69 family,2,7100,47%,6733,50%,7807,41%,8611,35%,0,0,0,0,0,0.50
Q96FV3,TSPAN17,"Tetraspanin-17, Tspan-17", tetraspanin (TM4SF) family.,3,11312,15%,8334,38%,4261,68%,8669,35%,0,0,0,0,0,0.68
Q96FV9,THOC1,"THO complex subunit 1, Tho1",,15,6981,48%,8436,37%,4485,66%,4038,70%,0,0,0,0,0,0.66
Q96FW1,OTUB1,Ubiquitin thioesterase OTUB1, peptidase C65 family.,36,6653,50%,6463,52%,861,94%,509,96%,0,0,0,0,0,0.94
Q96FX2,DPH3,DPH3 homolog, DPH3 family.,4,10021,25%,5175,61%,10348,22%,10555,21%,0,0,0,0,0,0.61
Q96FX7,TRMT61A,tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A, methyltransferase superfamily. TRM61 family.,1,12045,10%,10894,18%,11694,12%,12978,3%,0,0,0,0,0,0.18
Q96FZ2,HMCES,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein,SOS response-associated peptidase family,4,10122,24%,7694,42%,8494,36%,7568,43%,0,0,0,0,0,0.42
Q96FZ7,CHMP6,Charged multivesicular body protein 6, SNF7 family.,10,10182,24%,4102,69%,10867,19%,9077,32%,0,0,0,0,0,0.69
Q96G01,BICD1,"Protein bicaudal D homolog 1, Bic-D 1", BicD family.,12,5645,58%,7939,41%,4842,64%,2795,79%,0,0,0,0,0,0.64
Q96G03,PGM2,Phosphoglucomutase-2,phosphohexose mutase family,4,5145,61%,5560,58%,1913,86%,5911,56%,0,0,0,0,0,0.86
Q96G04,FAM86A,Protein FAM86A, FAM86 family.,1,11449,14%,9327,30%,12447,7%,12965,3%,0,0,0,0,0,0.30
Q96G21,IMP4,U3 small nucleolar ribonucleoprotein protein IMP4,,3,6793,49%,4004,70%,8511,36%,8335,38%,0,0,0,0,0,0.70
Q96G23,CERS2,"Ceramide synthase 2, CerS2",,9,5750,57%,5265,61%,8362,37%,6154,54%,0,0,0,0,0,0.61
Q96G25,MED8,Mediator of RNA polymerase II transcription subunit 8, Mediator complex subunit 8 family.,32,6196,54%,9947,25%,3170,76%,1861,86%,0,0,0,0,0,0.76
Q96G27,WBP1,"WW domain-binding protein 1, WBP-1",,6,7657,43%,6280,53%,7258,46%,7327,45%,0,0,0,0,0,0.53
Q96G28,CCDC104,Coiled-coil domain-containing protein 104,,2,4261,68%,3269,76%,6614,50%,8929,33%,0,0,0,0,0,0.76
Q96G30,MRAP2,Melanocortin-2 receptor accessory protein 2,,1,13253,1%,13264,1%,13258,1%,13302,0%,0,0,0,0,0,0.01
Q96G46,DUS3L,tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like,Dus family,1,13254,1%,13265,1%,13259,1%,13263,1%,0,0,0,0,0,0.01
Q96G74,OTUD5,OTU domain-containing protein 5, peptidase C85 family.,4,11036,17%,8464,37%,4258,68%,3776,72%,0,0,0,0,0,0.68
Q96G75,RMND5B,Protein RMD5 homolog B,,10,7823,41%,6458,52%,5433,59%,4926,63%,0,0,0,0,0,0.59
Q96G97,BSCL2,Seipin,seipin family,5,7200,46%,6625,50%,12065,10%,9938,26%,0,0,0,0,0,0.50
Q96GA3,LTV1,Protein LTV1 homolog, LTV1 family.,2,12688,5%,12927,3%,9063,32%,7893,41%,0,0,0,0,0,0.32
Q96GA7,SDSL,Serine dehydratase-like, serine/threonine dehydratase family.,1,9201,31%,6910,48%,8876,33%,12134,9%,0,0,0,0,0,0.48
Q96GC5,MRPL48,"39S ribosomal protein L48, mitochondrial",,5,12221,8%,11848,11%,10364,22%,9182,31%,0,0,0,0,0,0.22
Q96GC6,ZNF274,Neurotrophin receptor-interacting factor homolog, krueppel C2H2-type zinc-finger protein family.,2,7167,46%,5466,59%,5879,56%,6293,53%,0,0,0,0,0,0.59
Q96GC9,VMP1,Vacuole membrane protein 1,VMP1 family,2,7895,41%,12035,10%,8169,39%,7126,47%,0,0,0,0,0,0.41
Q96GD0,PDXP,Pyridoxal phosphate phosphatase,,2,5398,60%,8930,33%,7334,45%,9057,32%,0,0,0,0,0,0.60
Q96GD3,SCMH1,Polycomb protein SCMH1, SCM family.,19,4360,67%,7806,42%,4158,69%,2251,83%,0,0,0,0,0,0.69
Q96GD4,AURKB,Aurora kinase B, protein kinase superfamily. Ser/Thr protein kinase family. Aurora subfamily.,111,4350,67%,3790,72%,579,96%,986,93%,0,0,0,0,0,0.96
Q96GE4,CEP95,Centrosomal protein of 95 kDa,,6,11610,13%,10647,20%,7609,43%,6319,53%,0,0,0,0,0,0.43
Q96GE9,TMEM261,Transmembrane protein 261,,2,12535,6%,12736,5%,11120,17%,8467,37%,0,0,0,0,0,0.17
Q96GF1,RNF185,E3 ubiquitin-protein ligase RNF185,,20,7403,45%,7586,43%,2073,84%,3189,76%,0,0,0,0,0,0.84
Q96GG9,DCUN1D1,DCN1-like protein 1,,26,11498,14%,7266,46%,2629,80%,2628,80%,0,0,0,0,0,0.80
Q96GJ1,TRMT2B,tRNA (uracil(54)-C(5))-methyltransferase homolog,RNA M5U methyltransferase family,1,12841,4%,8534,36%,12772,4%,10020,25%,0,0,0,0,0,0.36
Q96GM5,SMARCD1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1, SMARCD family.,47,5680,57%,7111,47%,950,93%,248,98%,0,0,0,1,1,0.93
Q96GM8,TOE1,Target of EGR1 protein 1, CAF1 family.,26,6458,52%,7484,44%,2400,82%,2323,83%,0,0,0,0,0,0.82
Q96GN5,CDCA7L,Cell division cycle-associated 7-like protein,,34,9879,26%,7489,44%,2991,78%,3376,75%,0,0,0,0,0,0.78
Q96GP6,SCARF2,Scavenger receptor class F member 2,,1,1964,85%,1982,85%,6238,53%,12199,9%,0,0,0,0,0,0.85
Q96GQ7,DDX27,Probable ATP-dependent RNA helicase DDX27, DEAD box helicase family. DDX27/DRS1 subfamily.,3,2367,82%,2238,83%,8607,36%,8815,34%,0,0,0,0,0,0.83
Q96GR2,ACSBG1,Long-chain-fatty-acid--CoA ligase ACSBG1, ATP-dependent AMP-binding enzyme family. Bubblegum subfamily.,2,12555,6%,13033,2%,10971,18%,8183,39%,0,0,0,0,0,0.18
Q96GR4,ZDHHC12,Probable palmitoyltransferase ZDHHC12, DHHC palmitoyltransferase family.,1,11094,17%,12496,6%,12144,9%,9262,31%,0,0,0,0,0,0.17
Q96GS4,C17orf59,Uncharacterized protein C17orf59,,4,6021,55%,6564,51%,8391,37%,9419,29%,0,0,0,0,0,0.55
Q96GS6,ABHD17A,Alpha/beta hydrolase domain-containing protein 17A,ABHD17 family,2,5575,58%,5012,62%,10667,20%,11317,15%,0,0,0,0,0,0.62
Q96GT9,XAGE2,G antigen family D member 3, GAGE family.,4,4419,67%,6202,54%,6008,55%,7108,47%,0,0,0,0,0,0.67
Q96GU1,PAGE5,P antigen family member 5,GAGE family,1,5660,58%,8069,40%,9312,30%,10753,19%,0,0,0,0,0,0.58
Q96GV9,C5orf30,UNC119-binding protein C5orf30, UNC119-binding protein family.,4,10302,23%,11808,12%,9709,27%,8057,40%,0,0,0,0,0,0.27
Q96GW7,BCAN,Brevican core protein, aggrecan/versican proteoglycan family.,10,6831,49%,2905,78%,7733,42%,7054,47%,0,0,0,0,0,0.78
Q96GW9,MARS2,"Methionine--tRNA ligase, mitochondrial",class-I aminoacyl-tRNA synthetase family,1,13255,1%,13266,1%,13260,1%,13294,0%,0,0,0,0,0,0.01
Q96GX8,C16orf74,Uncharacterized protein C16orf74,,2,9605,28%,6028,55%,11502,14%,10358,22%,0,0,0,0,0,0.55
Q96GX9,APIP,"Probable methylthioribulose-1-phosphate dehydratase, MTRu-1-P dehydratase", aldolase class II family. MtnB subfamily.,17,8688,35%,6944,48%,4608,65%,4569,66%,0,0,0,0,0,0.65
Q96GY0,ZC2HC1A,Zinc finger C2HC domain-containing protein 1A,ZC2HC1 family,4,8651,35%,9968,25%,10115,24%,8064,40%,0,0,0,0,0,0.35
Q96GY3,LIN37,Protein lin-37 homolog,,10,11540,14%,10934,18%,7835,41%,6085,54%,0,0,0,0,0,0.41
Q96GZ6,SLC41A3,Solute carrier family 41 member 3, SLC41A transporter family.,4,11970,10%,3278,75%,9104,32%,8583,36%,0,0,0,0,0,0.75
Q96H12,MSANTD3,Myb/SANT-like DNA-binding domain-containing protein 3,MSANTD3 family,1,10963,18%,11647,13%,11587,13%,8732,35%,0,0,0,0,0,0.18
Q96H20,SNF8,Vacuolar-sorting protein SNF8, SNF8 family.,18,8014,40%,7585,43%,4072,69%,3429,74%,0,0,0,0,0,0.69
Q96H35,RBM18,Probable RNA-binding protein 18,,6,11324,15%,7415,44%,11939,11%,10510,21%,0,0,0,0,0,0.44
Q96H72,SLC39A13,Zinc transporter ZIP13,ZIP transporter (TC 2.A.5) family,2,12654,5%,12419,7%,11487,14%,10273,23%,0,0,0,0,0,0.14
Q96H79,ZC3HAV1L,Zinc finger CCCH-type antiviral protein 1-like,,3,9461,29%,4775,64%,6237,53%,7085,47%,0,0,0,0,0,0.64
Q96H86,ZNF764,Zinc finger protein 764, krueppel C2H2-type zinc-finger protein family.,5,9413,29%,11804,12%,10182,24%,8416,37%,0,0,0,0,0,0.29
Q96HA1,POM121,Nuclear envelope pore membrane protein POM 121, POM121 family.,20,8512,36%,5038,62%,3979,70%,3708,72%,0,0,0,0,0,0.70
Q96HA7,TONSL,Tonsoku-like protein, Tonsoku family.,3,6847,49%,10090,24%,5279,60%,6482,51%,0,0,0,0,0,0.60
Q96HA8,WDYHV1,Protein N-terminal glutamine amidohydrolase, NTAQ1 family.,85,12903,3%,10080,24%,3377,75%,2617,80%,0,0,0,0,0,0.75
Q96HB5,CCDC120,Coiled-coil domain-containing protein 120,,16,11237,16%,8823,34%,7653,43%,5916,56%,0,0,0,0,0,0.43
Q96HC4,PDLIM5,PDZ and LIM domain protein 5,,20,4530,66%,4695,65%,3615,73%,3207,76%,0,0,0,0,0,0.73
Q96HD1,CRELD1,Cysteine-rich with EGF-like domain protein 1, CRELD family.,13,5159,61%,857,94%,3416,74%,3435,74%,0,0,0,0,0,0.94
Q96HD9,ACY3,Aspartoacylase-2, AspA/AstE family. Aspartoacylase subfamily.,13,8460,37%,7062,47%,4459,67%,3665,73%,0,0,0,0,0,0.67
Q96HE7,ERO1L,"ERO1-like protein alpha, ERO1-L, ERO1-L-alpha", EROs family.,7,1244,91%,2449,82%,4544,66%,7038,47%,0,0,0,0,0,0.91
Q96HF1,SFRP2,Secreted frizzled-related protein 2,secreted frizzled-related protein (sFRP) family,3,12140,9%,7563,43%,12297,8%,12923,3%,0,0,0,0,0,0.43
Q96HH6,TMEM19,Transmembrane protein 19,TMEM19 family,1,10904,18%,9912,26%,9701,27%,12544,6%,0,0,0,0,0,0.27
Q96HH9,GRAMD3,GRAM domain-containing protein 3,,6,4063,70%,7084,47%,7069,47%,8347,37%,0,0,0,0,0,0.70
Q96HI0,SENP5,Sentrin-specific protease 5, peptidase C48 family.,1,11188,16%,12957,3%,11406,15%,9096,32%,0,0,0,0,0,0.16
Q96HJ5,MS4A3,Membrane-spanning 4-domains subfamily A member 3,MS4A family,1,10010,25%,11392,15%,12139,9%,10142,24%,0,0,0,0,0,0.25
Q96HL8,SH3YL1,SH3 domain-containing YSC84-like protein 1, SH3YL1 family.,8,1099,92%,1442,89%,1776,87%,4046,70%,0,0,0,0,0,0.92
Q96HP0,DOCK6,Dedicator of cytokinesis protein 6,DOCK family,1,10260,23%,10040,25%,10080,24%,9818,26%,0,0,0,0,0,0.25
Q96HP8,TMEM176A,Transmembrane protein 176A, TMEM176 family.,4,7258,46%,8575,36%,10012,25%,8835,34%,0,0,0,0,0,0.46
Q96HQ0,ZNF419,Zinc finger protein 419,krueppel C2H2-type zinc-finger protein family,1,12568,6%,12681,5%,12108,9%,10854,19%,0,0,0,0,0,0.09
Q96HR3,MED30,Mediator of RNA polymerase II transcription subunit 30,Mediator complex subunit 30 family,14,8763,34%,10079,24%,5414,59%,2648,80%,0,0,0,0,0,0.59
Q96HR8,NAF1,"H/ACA ribonucleoprotein complex non-core subunit NAF1, hNAF1", NAF1 family.,5,10087,24%,5255,61%,7562,43%,6417,52%,0,0,0,0,0,0.61
Q96HR9,REEP6,Receptor expression-enhancing protein 6, DP1 family.,13,11170,16%,9195,31%,5985,55%,7785,42%,0,0,0,0,0,0.55
Q96HS1,PGAM5,"Serine/threonine-protein phosphatase PGAM5, mitochondrial", phosphoglycerate mutase family. BPG-dependent PGAM subfamily.,7,6441,52%,6624,50%,5567,58%,4899,63%,0,0,0,0,0,0.58
Q96HT8,MRFAP1L1,MORF4 family-associated protein 1-like 1, MORF4 family-associated protein family.,36,8920,33%,8549,36%,4066,70%,3679,72%,0,0,0,0,0,0.70
Q96HU1,SGSM3,Small G protein signaling modulator 3, small G protein signaling modulator family.,8,8750,34%,8788,34%,9117,32%,5838,56%,0,0,0,0,0,0.34
Q96HV5,TMEM41A,Transmembrane protein 41A,TMEM41 family,1,5890,56%,2161,84%,10944,18%,12136,9%,0,0,0,0,0,0.84
Q96HW7,INTS4,Integrator complex subunit 4,Integrator subunit 4 family,4,9527,29%,11948,10%,9767,27%,8374,37%,0,0,0,0,0,0.29
Q96HY6,DDRGK1,DDRGK domain-containing protein 1, DDRGK1 family.,1,13256,1%,13267,1%,13261,1%,13078,2%,0,0,0,0,0,0.01
Q96HZ4,HES6,Transcription cofactor HES-6,,3,8306,38%,11205,16%,7060,47%,4280,68%,0,0,0,0,0,0.47
Q96I15,SCLY,Selenocysteine lyase,class-V pyridoxal-phosphate-dependent aminotransferase family,1,5244,61%,8065,40%,9339,30%,10830,19%,0,0,0,0,0,0.61
Q96I23,PYURF,"Protein preY, mitochondrial",PREY family,2,9301,30%,4206,68%,5313,60%,12515,6%,0,0,0,0,0,0.68
Q96I24,FUBP3,"Far upstream element-binding protein 3, FUSE-binding protein 3",,6,8471,37%,8207,39%,7230,46%,5591,58%,0,0,0,0,0,0.46
Q96I25,RBM17,Splicing factor 45,,19,9402,30%,7940,41%,5119,62%,3920,71%,0,0,0,0,0,0.62
Q96I27,ZNF625,Zinc finger protein 625,krueppel C2H2-type zinc-finger protein family,3,11467,14%,11966,10%,11263,16%,9557,28%,0,0,0,0,0,0.16
Q96I34,PPP1R16A,Protein phosphatase 1 regulatory subunit 16A,,20,1927,86%,5280,60%,4304,68%,5828,56%,0,0,0,0,0,0.86
Q96I51,WBSCR16,Williams-Beuren syndrome chromosomal region 16 protein,,4,6819,49%,9178,31%,7810,41%,5983,55%,0,0,0,0,0,0.49
Q96I99,SUCLG2,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",succinate/malate CoA ligase beta subunit family,2,12851,4%,5394,60%,6322,53%,12746,4%,0,0,0,0,0,0.60
Q96IC2,,Putative RNA exonuclease NEF-sp,,1,10601,21%,11395,15%,12899,3%,12326,8%,0,0,0,0,0,0.21
Q96ID5,IGSF21,"Immunoglobulin superfamily member 21, IgSF21",,31,4161,69%,5192,61%,3387,75%,2623,80%,0,0,0,0,0,0.75
Q96IF1,AJUBA,LIM domain-containing protein ajuba, zyxin/ajuba family.,13,1251,91%,1616,88%,1736,87%,1996,85%,0,0,0,0,0,0.91
Q96IG2,FBXL20,F-box/LRR-repeat protein 20,,2,9995,25%,11520,14%,11374,15%,9599,28%,0,0,0,0,0,0.25
Q96II8,LRCH3,Leucine-rich repeat and calponin homology domain-containing protein 3,,3,10633,20%,4961,63%,8239,38%,7155,46%,0,0,0,0,0,0.63
Q96IJ6,GMPPA,Mannose-1-phosphate guanyltransferase alpha, transferase hexapeptide repeat family.,6,5561,58%,6400,52%,6094,54%,8453,37%,0,0,0,0,0,0.58
Q96IK0,TMEM101,Transmembrane protein 101,,1,5122,62%,4508,66%,7903,41%,11098,17%,0,0,0,0,0,0.66
Q96IK1,BOD1,Biorientation of chromosomes in cell division protein 1,BOD1 family,1,13257,1%,13268,1%,13262,1%,13275,1%,0,0,0,0,0,0.01
Q96IK5,GMCL1,Germ cell-less protein-like 1,,59,4635,65%,3939,70%,2928,78%,3234,76%,0,0,0,0,0,0.78
Q96IM9,DYDC2,DPY30 domain-containing protein 2, dpy-3 family.,1,10350,22%,1638,88%,9102,32%,11544,13%,0,0,0,0,0,0.88
Q96IP4,FAM46A,Protein FAM46A, FAM46 family.,16,2317,83%,3652,73%,4704,65%,4966,63%,0,0,0,0,0,0.83
Q96IQ9,ZNF414,Zinc finger protein 414, krueppel C2H2-type zinc-finger protein family.,3,12211,8%,12620,5%,10811,19%,9592,28%,0,0,0,0,0,0.19
Q96IS3,RAX2,Retina and anterior neural fold homeobox protein 2,,1,12510,6%,12265,8%,12653,5%,12416,7%,0,0,0,0,0,0.08
Q96IT1,ZNF496,Zinc finger protein 496, krueppel C2H2-type zinc-finger protein family.,17,11305,15%,6189,54%,6188,54%,4499,66%,0,0,0,0,0,0.54
Q96IV0,NGLY1,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,PNGase family,13,7889,41%,5963,55%,5118,62%,4746,64%,0,0,0,0,0,0.62
Q96IW2,SHD,SH2 domain-containing adapter protein D,,3,2166,84%,3864,71%,1911,86%,4418,67%,0,0,0,0,0,0.86
Q96IW7,SEC22A,Vesicle-trafficking protein SEC22a,synaptobrevin family,10,6637,50%,2083,84%,7351,45%,6161,54%,0,0,0,0,0,0.84
Q96IX5,USMG5,Up-regulated during skeletal muscle growth protein 5,,2,8514,36%,5174,61%,10657,20%,10305,23%,0,0,0,0,0,0.61
Q96IX9,ANKRD36BP1,Putative ankyrin repeat domain-containing protein 26-like 1,,4,12672,5%,11978,10%,9396,30%,8016,40%,0,0,0,0,0,0.30
Q96IY1,NSL1,Kinetochore-associated protein NSL1 homolog,,10,5223,61%,8193,39%,2990,78%,2820,79%,0,0,0,0,0,0.78
Q96IY4,CPB2,Carboxypeptidase B2, peptidase M14 family.,7,656,95%,605,95%,5964,55%,6537,51%,0,0,0,0,0,0.95
Q96IZ0,PAWR,PRKC apoptosis WT1 regulator protein,,16,5870,56%,7794,42%,4326,68%,3427,74%,0,0,0,0,0,0.68
Q96IZ2,ADTRP,Androgen-dependent TFPI-regulating protein, AIG1 family.,1,9706,27%,9668,28%,11722,12%,11713,12%,0,0,0,0,0,0.28
Q96IZ5,RBM41,RNA-binding protein 41,,17,11016,17%,8884,33%,5898,56%,4518,66%,0,0,0,0,0,0.56
